rank,title,src,cover,up,PageViews,comments
58,洛基终于坐上了属于自己的王位，代价是孤独一生！,https://www.bilibili.com/video/BV12G411S7uu,https://i2.hdslb.com/bfs/archive/3be334ed0ac963036a287d360bb903780dc1f4b3.jpg@412w_232h_1c_!web-popular.avif,漫威英雄v,93万,845
59,被4399下架的烧脑游戏，95%的玩家无法完美通关！,https://www.bilibili.com/video/BV1tw411W7c6,https://i0.hdslb.com/bfs/archive/1d71c89762debdc424cca15aa08e9612ded4b15f.jpg@412w_232h_1c_!web-popular.avif,好运的鱼,108.8万,532
60,中国文化，遥遥领先,https://www.bilibili.com/video/BV1F94y1G7Tw,https://i0.hdslb.com/bfs/archive/eb21ab75cfc8f5b1065ff8a1dee4845c1b5cf3bf.jpg@412w_232h_1c_!web-popular.avif,命硬的小裴本人,156.1万,1205
61,没点儿毛病，谁能剪出这样的视频,https://www.bilibili.com/video/BV1GQ4y187Zv,https://i0.hdslb.com/bfs/archive/1c1e3f3ec4fb5b339ddeb0201c32c5861b885b99.jpg@412w_232h_1c_!web-popular.avif,哇好大的花生米,115万,987
62,最反转的一局,https://www.bilibili.com/video/BV1Y94y1n79P,https://i0.hdslb.com/bfs/archive/59470bb24e76c9eaebd5c3413c8aaca51cdf0435.jpg@412w_232h_1c_!web-popular.avif,阳光男孩小丑熊,104.6万,1127
63,街头挑战！在河野华面前狂赚648！,https://www.bilibili.com/video/BV1yC4y177BB,https://i2.hdslb.com/bfs/archive/0b0b9dd2955bb1167b932e89adb282210b2f986c.jpg@412w_232h_1c_!web-popular.avif,特效小哥studio,95万,1777
64,沉浸式撸猫,https://www.bilibili.com/video/BV13w411W7ws,https://i0.hdslb.com/bfs/archive/c9ec583e1f4012bf2493eba710088e96740c112a.jpg@412w_232h_1c_!web-popular.avif,终南山喵9,68.7万,354
65,当电诈分子遇到开挂保安,https://www.bilibili.com/video/BV1xj411h72w,https://i1.hdslb.com/bfs/archive/a5413460c9137476f569612bfefc3e43181cf17a.jpg@412w_232h_1c_!web-popular.avif,薪儿姐师尊,269.5万,5989
66,【瑞克与莫蒂】炸裂！邪恶莫蒂归来，与夹克瑞克上演大决战（第七季第五集·剧情）#277,https://www.bilibili.com/video/BV1xg4y1Q7rE,https://i0.hdslb.com/bfs/archive/2689b65a7f8c02cd3999caca3ff53ec592a8a1ef.jpg@412w_232h_1c_!web-popular.avif,安迪视频,105.1万,2633
67,嘿!来看看这些女博主,https://www.bilibili.com/video/BV1vb4y1g78P,https://i1.hdslb.com/bfs/archive/e892fc62597326937e162c911df70680b9cb522d.jpg@412w_232h_1c_!web-popular.avif,对话中的暂停,38.9万,692
68,刚满18岁是什么梗【梗指南】,https://www.bilibili.com/video/BV1BQ4y1t7fQ,https://i2.hdslb.com/bfs/archive/5df8f727872ba6877cb805c7edb1b5df56fc6d2e.jpg@412w_232h_1c_!web-popular.avif,梗指南,231.1万,4099
69,今天上网学到最有用的一件事～,https://www.bilibili.com/video/BV1Pu4y1h7t3,https://i2.hdslb.com/bfs/archive/3b68d4b28d5392f16c50e259e51c55e074948a92.jpg@412w_232h_1c_!web-popular.avif,苦瓜李还行,175.7万,287
70,【八零徐姥姥】更新了一条视频，快来围观！,https://www.bilibili.com/video/BV1su4y1N7Qe,https://i0.hdslb.com/bfs/archive/7b77fc57a636089c91bc024d9e7dfc7eba3e6c2a.jpg@412w_232h_1c_!web-popular.avif,八零徐姥姥,84.9万,1558
71,月入四万美金律师给年轻人的建议,https://www.bilibili.com/video/BV1yz4y1P7Jx,https://i2.hdslb.com/bfs/archive/ca9f6a372e98f96b256e776534ed964707eeb2d2.jpg@412w_232h_1c_!web-popular.avif,杰克森Jackson_,90万,2595
72,一分钟打515个字，键盘侠跟她对线能赢吗？,https://www.bilibili.com/video/BV1jb4y1g7s7,https://i2.hdslb.com/bfs/archive/d8fe68a1f4e6fa87cca65acff788c63a78e2e030.jpg@412w_232h_1c_!web-popular.avif,猛虎电影,308万,2754
